index,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,NumRaces,NumUsers,PSC,Power,TimeStamp,User,laccid,netOperators,quality,race_id,ratio,rawPower,segment,segment_end_id,segment_start_id,session_id,source_file,x,y
170,,370,,7736,,,,2G,EDGE,2,,,-104.0,,,7736-370,,0.76,,0.367088607595,,073-074,74,73,,,37.6325335573,55.7299389825
171,,350,,7736,,,,2G,EDGE,3,,,-99.0,,,7736-350,,0.81,,0.379746835443,,073-074,74,73,,,37.6323355629,55.729893571
172,,370,,7736,,,,2G,EDGE,2,,,-105.0,,,7736-370,,0.76,,0.379746835443,,073-074,74,73,,,37.6323355629,55.729893571
173,,350,,7736,,,,2G,EDGE,3,,,-99.0,,,7736-350,,0.81,,0.392405063291,,073-074,74,73,,,37.632135418,55.7298510624
174,,370,,7736,,,,2G,EDGE,2,,,-106.0,,,7736-370,,0.76,,0.392405063291,,073-074,74,73,,,37.632135418,55.7298510624
175,,350,,7736,,,,2G,EDGE,3,,,-99.0,,,7736-350,,0.81,,0.405063291139,,073-074,74,73,,,37.631935273,55.7298085537
176,,370,,7736,,,,2G,EDGE,2,,,-107.0,,,7736-370,,0.76,,0.405063291139,,073-074,74,73,,,37.631935273,55.7298085537
177,,350,,7736,,,,2G,EDGE,3,,,-99.0,,,7736-350,,0.81,,0.417721518987,,073-074,74,73,,,37.631735128,55.7297660451
178,,370,,7736,,,,2G,EDGE,2,,,-107.0,,,7736-370,,0.76,,0.417721518987,,073-074,74,73,,,37.631735128,55.7297660451
179,,350,,7736,,,,2G,EDGE,3,,,-99.0,,,7736-350,,0.81,,0.430379746835,,073-074,74,73,,,37.631534983,55.7297235363
180,,370,,7736,,,,2G,EDGE,2,,,-107.0,,,7736-370,,0.76,,0.430379746835,,073-074,74,73,,,37.631534983,55.7297235363
181,,350,,7736,,,,2G,EDGE,3,,,-99.0,,,7736-350,,0.81,,0.443037974684,,073-074,74,73,,,37.631334838,55.7296810275
