ID;Name;User;TimeStamp;Type;Accel_X;Accel_Y;Accel_Z
;ServiceLog;md;1418109845686;Raw;1.1441092;3.4731886;8.730643
;ServiceLog;md;1418109846718;Raw;1.293933;3.445948;8.839605
;ServiceLog;md;1418109847754;Raw;1.3756552;3.7047346;8.539958
;ServiceLog;md;1418109848790;Raw;1.3756552;3.5140498;8.349273
;ServiceLog;md;1418109849822;Raw;0.8308412;4.1269655;8.60806
;ServiceLog;md;1418109850868;Raw;1.1849703;3.9771416;8.689782
;ServiceLog;md;1418109851913;Raw;1.1441092;3.9771416;8.771504
;ServiceLog;md;1418109852946;Raw;1.1032481;3.7455957;8.580819
;ServiceLog;md;1418109853984;Raw;1.0215261;3.9362805;8.730643
;ServiceLog;md;1418109855023;Raw;1.0623871;4.0588636;8.458236
;ServiceLog;md;1418109856059;Raw;1.0623871;4.0180025;8.417375
;ServiceLog;md;1418109857110;Raw;0.87170225;4.2904096;8.648921
;ServiceLog;md;1418109858142;Raw;-1.7161638;2.901134;9.765789
;ServiceLog;md;1418109859174;Raw;-1.1032481;3.5549107;8.771504
;ServiceLog;md;1418109860210;Raw;-0.9125633;3.255263;8.839605
;ServiceLog;md;1418109861243;Raw;-0.87170225;2.7513103;9.534244
;ServiceLog;md;1418109862280;Raw;0.40861043;3.091819;9.112013
;ServiceLog;md;1418109863311;Raw;0.25878662;2.901134;9.152874
;ServiceLog;md;1418109864346;Raw;0.25878662;2.982856;9.112013
;ServiceLog;md;1418109865406;Raw;0.29964766;2.7513103;9.152874
;ServiceLog;md;1418109866437;Raw;0.25878662;2.8330324;9.152874
;ServiceLog;md;1418109867472;Raw;-0.10896278;3.0645783;8.798744
;ServiceLog;md;1418109868502;Raw;0.027240695;2.9419951;9.152874
;ServiceLog;md;1418109869536;Raw;1.2258313;3.173541;8.580819
;ServiceLog;md;1418109870574;Raw;1.484618;2.5197644;9.493382
;ServiceLog;md;1418109871609;Raw;1.1849703;2.2201166;8.880466
;ServiceLog;md;1418109872663;Raw;0.6810174;2.3699405;9.452521
;ServiceLog;md;1418109873703;Raw;0.7218784;3.255263;8.730643
;ServiceLog;md;1418109874736;Raw;1.9885708;3.5140498;8.771504
;ServiceLog;md;1418109876153;Raw;1.56634;3.445948;8.962189
;ServiceLog;md;1418109877190;Raw;1.6753027;3.214402;8.839605
;ServiceLog;md;1418109878307;Raw;1.9477097;3.405087;8.60806
;ServiceLog;md;1418109879339;Raw;1.484618;3.2825038;8.989429
;ServiceLog;md;1418109880377;Raw;1.253072;3.13268;8.880466
;ServiceLog;md;1418109881414;Raw;1.484618;3.2825038;9.302697
;ServiceLog;md;1418109882438;Raw;0.7218784;2.901134;8.417375
;ServiceLog;md;1418109883477;Raw;-0.14982383;1.607201;9.684067
;ServiceLog;md;1418109884510;Raw;-0.87170225;1.9068487;9.193735
;ServiceLog;md;1418109885639;Raw;0.14982383;2.901134;9.030291
;ServiceLog;md;1418109886771;Raw;0.29964766;3.091819;8.921328
;ServiceLog;md;1418109887786;Raw;0.25878662;2.8330324;9.534244
;ServiceLog;md;1418109888835;Raw;0.14982383;2.5197644;9.112013
;ServiceLog;md;1418109889878;Raw;0.19068487;2.9419951;8.880466
;ServiceLog;md;1418109890894;Raw;-0.44947147;3.255263;8.989429
;ServiceLog;md;1418109891911;Raw;0.14982383;2.2473574;9.384419
;ServiceLog;md;1418109892942;Raw;0.5720546;2.0975335;9.302697
;ServiceLog;md;1418109893973;Raw;0.7218784;2.0566726;9.41166
;ServiceLog;md;1418109895002;Raw;0.5720546;2.3699405;8.962189
;ServiceLog;md;1418109896029;Raw;0.5720546;2.5197644;9.152874
;ServiceLog;md;1418109897055;Raw;0.5720546;2.669588;9.112013
;ServiceLog;md;1418109898093;Raw;0.8036005;2.6014864;9.193735
;ServiceLog;md;1418109899124;Raw;0.87170225;2.6423476;9.343558
;ServiceLog;md;1418109900149;Raw;0.7627395;2.901134;9.112013
;ServiceLog;md;1418109901181;Raw;0.7218784;2.5606253;9.152874
;ServiceLog;md;1418109902211;Raw;0.7218784;2.7921712;9.030291
;ServiceLog;md;1418109903267;Raw;0.95342433;2.6014864;9.302697
;ServiceLog;md;1418109904295;Raw;0.95342433;3.0237172;8.989429
;ServiceLog;md;1418109905320;Raw;0.38136974;3.3233647;8.921328
;ServiceLog;md;1418109906349;Raw;-0.19068487;3.9771416;8.730643
;ServiceLog;md;1418109907854;Raw;0.95342433;2.7921712;9.112013
;ServiceLog;md;1418109908920;Raw;1.0215261;3.173541;8.839605
;ServiceLog;md;1418109909963;Raw;0.7218784;2.7513103;8.730643
;ServiceLog;md;1418109910985;Raw;0.25878662;1.9477097;9.071152
;ServiceLog;md;1418109912006;Raw;0.4903325;2.0566726;9.220976
;ServiceLog;md;1418109913021;Raw;0.38136974;1.9885708;9.41166
;ServiceLog;md;1418109914038;Raw;0.3405087;2.0975335;9.152874
;ServiceLog;md;1418109915063;Raw;0.19068487;2.2882185;9.071152
;ServiceLog;md;1418109916096;Raw;0.19068487;2.1383946;9.220976
;ServiceLog;md;1418109917147;Raw;0.25878662;2.2473574;9.193735
;ServiceLog;md;1418109918165;Raw;0.21792556;2.2473574;9.261836
;ServiceLog;md;1418109917911;Raw;0.19068487;2.2882185;9.112013
;ServiceLog;md;1418109919298;Raw;0.21792556;2.3290794;9.112013
;ServiceLog;md;1418109920323;Raw;0.5720546;2.669588;9.193735
;ServiceLog;md;1418109921339;Raw;0.40861043;2.7513103;9.030291
;ServiceLog;md;1418109922362;Raw;0.44947147;2.7921712;9.071152
;ServiceLog;md;1418109923381;Raw;0.44947147;2.7921712;8.962189
;ServiceLog;md;1418109924406;Raw;0.38136974;2.669588;9.030291
;ServiceLog;md;1418109925423;Raw;0.40861043;2.901134;8.962189
;ServiceLog;md;1418109926442;Raw;-0.0;3.13268;8.962189
;ServiceLog;md;1418109927640;Raw;-0.06810174;2.901134;8.962189
;ServiceLog;md;1418109928750;Raw;-0.3405087;2.982856;9.071152
;ServiceLog;md;1418109930145;Raw;-0.29964766;3.2825038;8.962189
;ServiceLog;md;1418109931168;Raw;-0.25878662;3.214402;8.880466
;ServiceLog;md;1418109932193;Raw;-0.40861043;3.405087;8.962189
;ServiceLog;md;1418109933222;Raw;-0.25878662;2.982856;9.112013
;ServiceLog;md;1418109934252;Raw;-0.38136974;2.982856;9.030291
;ServiceLog;md;1418109935270;Raw;-0.19068487;2.901134;9.112013
;ServiceLog;md;1418109936293;Raw;-0.19068487;3.0645783;8.771504
;ServiceLog;md;1418109937318;Raw;-0.14982383;2.8330324;8.962189
;ServiceLog;md;1418109938345;Raw;-0.44947147;3.0645783;8.921328
;ServiceLog;md;1418109939400;Raw;-0.21792556;3.0237172;8.580819
;ServiceLog;md;1418109940462;Raw;0.14982383;3.173541;8.730643
;ServiceLog;md;1418109941491;Raw;-1.7978859;4.930566;7.763598
;ServiceLog;md;1418109942560;Raw;0.027240695;3.5140498;8.60806
;ServiceLog;md;1418109943586;Raw;-0.4903325;3.091819;9.071152
;ServiceLog;md;1418109944614;Raw;-0.29964766;3.091819;9.071152
;ServiceLog;md;1418109945749;Raw;0.027240695;2.901134;9.193735
;ServiceLog;md;1418109947280;Raw;0.38136974;2.4789033;8.798744
;ServiceLog;md;1418109948314;Raw;-0.19068487;3.0645783;9.220976
;ServiceLog;md;1418109949426;Raw;-0.06810174;2.9419951;8.730643
;ServiceLog;md;1418109950458;Raw;0.027240695;2.901134;8.798744
;ServiceLog;md;1418109951487;Raw;0.19068487;3.091819;8.308413
