Accel_X,Accel_Y,Accel_Z,Azimuth,GPS_Accuracy,GPS_Alt,GPS_Bearing,GPS_Lat,GPS_Lon,GPS_Speed,Gyro_X,Gyro_Y,Gyro_Z,ID,Magnetic,Name,Pitch,Roll,TimeStamp,Type,User,race_id,session_id
3.7047346,-0.40861043,-9.80665,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842338742,Raw,vlad,1435842348,449805108
3.6774938,1.9068487,-7.3822284,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842340094,Raw,vlad,1435842348,449805108
6.932757,-5.284695,-8.539958,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842341134,Raw,vlad,1435842348,449805108
4.630918,2.5606253,-4.0180025,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842342150,Raw,vlad,1435842348,449805108
6.1291566,-6.891896,-0.53119355,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842343424,Raw,vlad,1435842348,449805108
8.076866,-5.053149,3.7047346,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842344434,Raw,vlad,1435842348,449805108
1.8659877,-3.6774938,7.3141265,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842345447,Raw,vlad,1435842348,449805108
8.22669,3.173541,0.7218784,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842347227,Raw,vlad,1435842348,449805108
-6.3879433,-5.1621118,6.006573,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842348240,Raw,vlad,1435842348,449805108
2.0566726,5.9248514,5.5434813,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842349254,Raw,vlad,1435842348,449805108
1.7570249,2.8602731,10.869038,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842350296,Raw,vlad,1435842348,449805108
-2.0566726,0.87170225,10.337844,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842351433,Raw,vlad,1435842348,449805108
-0.6401563,2.7513103,9.80665,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842352453,Raw,vlad,1435842348,449805108
-4.440233,2.6423476,6.66035,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842353516,Raw,vlad,1435842348,449805108
-1.293933,2.4516625,9.765789,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842354533,Raw,vlad,1435842348,449805108
-0.5720546,2.3290794,9.575105,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842355813,Raw,vlad,1435842348,449805108
-0.9125633,1.7978859,10.2152605,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842356832,Raw,vlad,1435842348,449805108
-0.38136974,2.4108016,10.2152605,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842357859,Raw,vlad,1435842348,449805108
-0.9942854,2.0294318,9.493382,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842358917,Raw,vlad,1435842348,449805108
-1.0215261,1.9068487,9.915613,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842359949,Raw,vlad,1435842348,449805108
-1.0215261,1.607201,9.765789,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842360963,Raw,vlad,1435842348,449805108
-0.8036005,1.9068487,9.41166,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842361983,Raw,vlad,1435842348,449805108
-1.2258313,1.6344417,9.915613,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842363008,Raw,vlad,1435842348,449805108
-1.0215261,1.8387469,9.833891,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842364033,Raw,vlad,1435842348,449805108
-1.253072,1.9885708,9.452521,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842365047,Raw,vlad,1435842348,449805108
-1.4437568,1.9477097,9.261836,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842366081,Raw,vlad,1435842348,449805108
-1.1032481,2.0975335,9.030291,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842367506,Raw,vlad,1435842348,449805108
-1.4437568,2.0975335,9.575105,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842368560,Raw,vlad,1435842348,449805108
-1.293933,2.0566726,9.193735,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842369573,Raw,vlad,1435842348,449805108
-1.334794,2.0294318,9.534244,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842370600,Raw,vlad,1435842348,449805108
-1.1441092,2.1383946,9.152874,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842371654,Raw,vlad,1435842348,449805108
-0.8308412,2.1792557,9.343558,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842372675,Raw,vlad,1435842348,449805108
-0.38136974,2.3290794,9.575105,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842373705,Raw,vlad,1435842348,449805108
-1.0215261,1.8387469,10.106298,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842374741,Raw,vlad,1435842348,449805108
-0.87170225,2.0566726,9.874752,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842375772,Raw,vlad,1435842348,449805108
-0.8308412,1.9068487,9.915613,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842376786,Raw,vlad,1435842348,449805108
-1.253072,1.8387469,9.41166,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842377800,Raw,vlad,1435842348,449805108
-0.95342433,1.6753027,9.602345,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842378814,Raw,vlad,1435842348,449805108
-0.40861043,1.8659877,10.147159,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842379845,Raw,vlad,1435842348,449805108
-0.8308412,2.1792557,9.575105,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842380857,Raw,vlad,1435842348,449805108
-0.8308412,2.2882185,9.765789,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842381870,Raw,vlad,1435842348,449805108
-0.8036005,2.4108016,9.452521,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842382911,Raw,vlad,1435842348,449805108
-0.6810174,2.1792557,9.997335,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842383950,Raw,vlad,1435842348,449805108
-0.3405087,2.1792557,9.302697,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842384984,Raw,vlad,1435842348,449805108
-0.3405087,2.1792557,9.302697,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,931,0.0,Проспект Мира (КРЛ) 1,0.0,0.0,1435842385520,Raw,vlad,1435842348,449805108
