,index,Active,CID,DateTime,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,session_id,source_file,x,y,laccid,segment,netOperators,rawPower,NumRaces,NumUsers,coeffs,controls,method,maxCorrMinDelta
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-85.1643298389,1357065828459,gsmart,1445577095,0.361111111111,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-85.1643298389,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-85.6134394231,1357065828459,gsmart,1445577095,0.368055555556,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-85.6134394231,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-86.0625490072,1357065828459,gsmart,1445577095,0.375,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-86.0625490072,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-86.5116585914,1357065828459,gsmart,1445577095,0.381944444444,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-86.5116585914,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-86.9607681755,1357065828459,gsmart,1445577095,0.388888888889,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-86.9607681755,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-87.4098777597,1357065828459,gsmart,1445577095,0.395833333333,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-87.4098777597,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-87.8589873438,1357065828459,gsmart,1445577095,0.402777777778,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-87.8589873438,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-88.308096928,1357065828459,gsmart,1445577095,0.409722222222,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-88.308096928,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-88.7572065121,1357065828459,gsmart,1445577095,0.416666666667,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-88.7572065121,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-89.2063160963,1357065828459,gsmart,1445577095,0.423611111111,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-89.2063160963,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-89.6554256804,1357065828459,gsmart,1445577095,0.430555555556,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-89.6554256804,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-90.1045352646,1357065828459,gsmart,1445577095,0.4375,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-90.1045352646,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-90.5536448487,1357065828459,gsmart,1445577095,0.444444444444,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-90.5536448487,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-91.0027544329,1357065828459,gsmart,1445577095,0.451388888889,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-91.0027544329,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-91.451864017,1357065828459,gsmart,1445577095,0.458333333333,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-91.451864017,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-91.9009736012,1357065828459,gsmart,1445577095,0.465277777778,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-91.9009736012,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-92.3500831853,1357065828459,gsmart,1445577095,0.472222222222,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-92.3500831853,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-92.7991927695,1357065828459,gsmart,1445577095,0.479166666667,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-92.7991927695,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-93.2483023536,1357065828459,gsmart,1445577095,0.486111111111,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-93.2483023536,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-93.6974119378,1357065828459,gsmart,1445577095,0.493055555556,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-93.6974119378,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-94.146521522,1357065828459,gsmart,1445577095,0.5,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-94.146521522,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-94.5956311061,1357065828459,gsmart,1445577095,0.506944444444,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-94.5956311061,1,3,0.98349,1.0,byCorr,1.0
837,1163,250-2-7803-22619,22621,23.10.2015 8:13:15,,7803,250,2,ServiceLog,2G,GPRS,-1,-99.0,1445577195900,natalie,1445577095,0.708333333333,3,4,103961951.0,004-003-201510230811-natalie-move.csv,30.2599569311,59.8424689435,7803-22621,004-003,25002,-99.0,1,3,0.97286,1.0,byCorr,1.0
837,1163,250-2-7803-22619,22621,23.10.2015 8:13:15,,7803,250,2,ServiceLog,2G,GPRS,-1,-99.0,1445577195900,natalie,1445577095,0.715277777778,3,4,103961951.0,004-003-201510230811-natalie-move.csv,30.2599569311,59.8424689435,7803-22621,004-003,25002,-99.0,1,3,0.97286,1.0,byCorr,1.0
592,918,1,22619,23 Окт 2015 г. 8:13:39,,7803,250,2,ServiceLog,2G,EDGE,-1,-51.0,1445577219186, julia,1445577095,0.868055555556,3,4,103961951.0,004-003-201510230811- julia-move.csv,30.255570079,59.842014316,7803-22619,004-003,25002,-51.0,1,3,0.91526,1.0,byCorr,1.0
783,1109,1,22619,23.10.2015 8:12:46,,7803,250,2,ServiceLog,2G,GPRS,-1,-77.0,1445577166325,natalie,1445577095,0.479166666667,3,4,103961951.0,004-003-201510230811-natalie-move.csv,30.2653927721,59.8441829143,7803-22619,004-003,25002,-77.0,1,3,0.90988,1.0,byCorr,1.0
460,767,250-2-7803-22621,14187,01.01.2013 21:44:39,,7803,250,2,ServiceLog,2G,GPRS,-1,-81.0,1357065879615,gsmart,1445577095,0.909722222222,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2543139558,59.8419116616,7803-14187,004-003,25002,-81.0,1,3,0.97897,1.0,byCorr,1.0
1093,1606,1,22617,23 Окт 2015 г. 8:21:01,,7803,250,2,ServiceLog,2G,EDGE,-1,-65.9285461818,1445577661462, julia,1445577554,0.861788617886,5,4,103961951.0,004-005-201510230819- julia-move.csv,30.2623968985,59.865076752,7803-22617,004-005,25002,-65.9285461818,1,3,0.82922,1.0,byCorr,1.0
1296,1809,1,22617,23.10.2015 8:20:50,,7803,250,2,ServiceLog,2G,GPRS,-1,-69.0,1445577650842,natalie,1445577554,0.79674796748,5,4,103961951.0,004-005-201510230819-natalie-move.csv,30.2628422295,59.8640745935,7803-22617,004-005,25002,-69.0,1,3,0.94546,1.0,byCorr,1.0
1296,1809,1,22617,23.10.2015 8:20:50,,7803,250,2,ServiceLog,2G,GPRS,-1,-69.0,1445577650842,natalie,1445577554,0.80487804878,5,4,103961951.0,004-005-201510230819-natalie-move.csv,30.2628422295,59.8640745935,7803-22617,004-005,25002,-69.0,1,3,0.94546,1.0,byCorr,1.0
1458,1977,1,22617,01.01.2013 21:40:49,,7803,250,2,ServiceLog,2G,GPRS,-1,-81.0,1357065649620,gsmart,1445576920,0.479452054795,4,5,103961951.0,005-004-201301012139-gsmart-move.csv,30.2649204345,59.8592349202,7803-22617,005-004,25002,-85.0,1,3,0.73747,1.0,byCorr,1.0
1842,2434,1,22617,23.10.2015 8:09:56,,7803,250,2,ServiceLog,2G,GPRS,-1,-89.0,1445576996502,natalie,1445576920,0.520547945205,4,5,103961951.0,005-004-201510230808-natalie-move.csv,30.2652164326,59.8585710689,7803-22617,005-004,25002,-89.0,1,3,0.95627,1.0,byCorr,1.0
1489,2008,1,22621,01.01.2013 21:41:17,,7803,250,2,ServiceLog,2G,GPRS,-1,-73.0,1357065677569,gsmart,1445576920,0.705479452055,4,5,103961951.0,005-004-201301012139-gsmart-move.csv,30.2665807971,59.8555109623,7803-22621,005-004,25002,-73.0,1,3,0.92644,1.0,byCorr,1.0
1958,2550,1,22621,23.10.2015 8:10:54,,7803,250,2,ServiceLog,2G,GPRS,-1,-63.0,1445577054806,natalie,1445576920,0.965753424658,4,5,103961951.0,005-004-201510230808-natalie-move.csv,30.2683648243,59.8512369796,7803-22621,005-004,25002,-63.0,1,3,0.95218,1.0,byCorr,1.0
2040,2730,250-2-7803-22621,22617,01.01.2013 21:54:34,,7803,250,2,ServiceLog,2G,GPRS,-1,-83.2855544855,1357066474243,gsmart,1445577717,0.264462809917,6,5,103961951.0,005-006-201301012152-gsmart-move.csv,30.2612571436,59.8775294153,7803-22617,005-006,25002,-83.2855544855,1,3,0.93277,1.0,byCorr,1.0
