Active,CID,DateTime,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,session_id
250-2-7803-22542,22545,01.01.2013 3:30:33,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-83,1357000233879,gsmart,1445511516,691790069
250-2-7803-22542,14217,01.01.2013 3:30:33,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-109,1357000233879,gsmart,1445511516,691790069
1,22542,01.01.2013 3:30:34,,7803,250,2,ServiceLog,2G,GPRS,-1,-81,1357000234915,gsmart,1445511516,691790069
250-2-7803-22542,22545,01.01.2013 3:30:34,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-83,1357000234915,gsmart,1445511516,691790069
250-2-7803-22542,14217,01.01.2013 3:30:34,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-109,1357000234915,gsmart,1445511516,691790069
1,22542,01.01.2013 3:30:35,,7803,250,2,ServiceLog,2G,GPRS,-1,-81,1357000235968,gsmart,1445511516,691790069
250-2-7803-22542,22545,01.01.2013 3:30:35,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-83,1357000235968,gsmart,1445511516,691790069
250-2-7803-22542,14217,01.01.2013 3:30:35,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-109,1357000235968,gsmart,1445511516,691790069
1,22542,01.01.2013 3:30:37,,7803,250,2,ServiceLog,2G,GPRS,-1,-81,1357000237009,gsmart,1445511516,691790069
250-2-7803-22542,22545,01.01.2013 3:30:37,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-83,1357000237009,gsmart,1445511516,691790069
250-2-7803-22542,14217,01.01.2013 3:30:37,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-109,1357000237009,gsmart,1445511516,691790069
1,22542,01.01.2013 3:30:38,,7803,250,2,ServiceLog,2G,GPRS,-1,-93,1357000238040,gsmart,1445511516,691790069
250-2-7803-22542,22545,01.01.2013 3:30:38,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-83,1357000238040,gsmart,1445511516,691790069
250-2-7803-22542,14217,01.01.2013 3:30:38,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-109,1357000238040,gsmart,1445511516,691790069
1,22545,01.01.2013 3:30:39,,7803,250,2,ServiceLog,2G,GPRS,-1,-93,1357000239079,gsmart,1445511516,691790069
250-2-7803-22545,22545,01.01.2013 3:30:39,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-83,1357000239079,gsmart,1445511516,691790069
250-2-7803-22545,14217,01.01.2013 3:30:39,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-109,1357000239079,gsmart,1445511516,691790069
1,22545,01.01.2013 3:30:40,,7803,250,2,ServiceLog,2G,GPRS,-1,-93,1357000240135,gsmart,1445511516,691790069
250-2-7803-22545,22545,01.01.2013 3:30:40,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-83,1357000240135,gsmart,1445511516,691790069
250-2-7803-22545,14217,01.01.2013 3:30:40,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-109,1357000240135,gsmart,1445511516,691790069
1,22545,01.01.2013 3:30:41,,7803,250,2,ServiceLog,2G,GPRS,-1,-93,1357000241188,gsmart,1445511516,691790069
250-2-7803-22545,22545,01.01.2013 3:30:41,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-83,1357000241188,gsmart,1445511516,691790069
250-2-7803-22545,14217,01.01.2013 3:30:41,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-109,1357000241188,gsmart,1445511516,691790069
1,22545,01.01.2013 3:30:42,,7803,250,2,ServiceLog,2G,GPRS,-1,-93,1357000242243,gsmart,1445511516,691790069
250-2-7803-22545,22545,01.01.2013 3:30:42,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-83,1357000242243,gsmart,1445511516,691790069
250-2-7803-22545,14217,01.01.2013 3:30:42,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-109,1357000242243,gsmart,1445511516,691790069
1,22545,01.01.2013 3:30:43,,7803,250,2,ServiceLog,2G,GPRS,-1,-93,1357000243281,gsmart,1445511516,691790069
1,22545,01.01.2013 3:30:44,,7803,250,2,ServiceLog,2G,GPRS,-1,-93,1357000244340,gsmart,1445511516,691790069
1,22545,01.01.2013 3:30:45,,7803,250,2,ServiceLog,2G,GPRS,-1,-93,1357000245400,gsmart,1445511516,691790069
1,22545,01.01.2013 3:30:46,,7803,250,2,ServiceLog,2G,GPRS,-1,-93,1357000246435,gsmart,1445511516,691790069
1,22545,01.01.2013 3:30:47,,7803,250,2,ServiceLog,2G,GPRS,-1,-93,1357000247468,gsmart,1445511516,691790069
1,22545,01.01.2013 3:30:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-93,1357000248508,gsmart,1445511516,691790069
250-2-7803-22545,22542,01.01.2013 3:30:48,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-97,1357000248508,gsmart,1445511516,691790069
250-2-7803-22545,14677,01.01.2013 3:30:48,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-101,1357000248508,gsmart,1445511516,691790069
1,22545,01.01.2013 3:30:49,,7803,250,2,ServiceLog,2G,GPRS,-1,-63,1357000249568,gsmart,1445511516,691790069
250-2-7803-22545,22542,01.01.2013 3:30:49,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-97,1357000249568,gsmart,1445511516,691790069
250-2-7803-22545,14677,01.01.2013 3:30:49,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-101,1357000249568,gsmart,1445511516,691790069
1,22545,01.01.2013 3:30:50,,7803,250,2,ServiceLog,2G,GPRS,-1,-63,1357000250616,gsmart,1445511516,691790069
250-2-7803-22545,22542,01.01.2013 3:30:50,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-97,1357000250616,gsmart,1445511516,691790069
250-2-7803-22545,14677,01.01.2013 3:30:50,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-101,1357000250616,gsmart,1445511516,691790069
1,22545,01.01.2013 3:30:51,,7803,250,2,ServiceLog,2G,GPRS,-1,-63,1357000251665,gsmart,1445511516,691790069
250-2-7803-22545,22542,01.01.2013 3:30:51,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-97,1357000251665,gsmart,1445511516,691790069
250-2-7803-22545,14677,01.01.2013 3:30:51,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-101,1357000251665,gsmart,1445511516,691790069
1,22545,01.01.2013 3:30:52,,7803,250,2,ServiceLog,2G,GPRS,-1,-63,1357000252715,gsmart,1445511516,691790069
