ID,Name,User,TimeStamp,DateTime,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power,session_id,race_id
,ServiceLog,natalie,1445533445129,22.10.2015 20:04:05,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-93,369760759,1445533055
,ServiceLog,natalie,1445533446153,22.10.2015 20:04:06,2G,GPRS,1,250,2,7803,15413,-1,-75,369760759,1445533055
,ServiceLog,natalie,1445533446153,22.10.2015 20:04:06,2G,GPRS,250-2-7803-15413,-1,-1,7803,1133,-1,-69,369760759,1445533055
,ServiceLog,natalie,1445533446153,22.10.2015 20:04:06,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-93,369760759,1445533055
,ServiceLog,natalie,1445533447179,22.10.2015 20:04:07,2G,GPRS,1,250,2,7803,15413,-1,-75,369760759,1445533055
,ServiceLog,natalie,1445533447179,22.10.2015 20:04:07,2G,GPRS,250-2-7803-15413,-1,-1,7803,1133,-1,-69,369760759,1445533055
,ServiceLog,natalie,1445533447179,22.10.2015 20:04:07,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-93,369760759,1445533055
,ServiceLog,natalie,1445533448203,22.10.2015 20:04:08,2G,GPRS,1,250,2,7803,15413,-1,-75,369760759,1445533055
,ServiceLog,natalie,1445533448203,22.10.2015 20:04:08,2G,GPRS,250-2-7803-15413,-1,-1,7803,1133,-1,-69,369760759,1445533055
,ServiceLog,natalie,1445533448203,22.10.2015 20:04:08,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-93,369760759,1445533055
,ServiceLog,natalie,1445533449229,22.10.2015 20:04:09,2G,GPRS,1,250,2,7803,15413,-1,-75,369760759,1445533055
,ServiceLog,natalie,1445533449229,22.10.2015 20:04:09,2G,GPRS,250-2-7803-15413,-1,-1,7803,1133,-1,-69,369760759,1445533055
,ServiceLog,natalie,1445533449229,22.10.2015 20:04:09,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-93,369760759,1445533055
,ServiceLog,natalie,1445533450254,22.10.2015 20:04:10,2G,GPRS,1,250,2,7803,15413,-1,-75,369760759,1445533055
,ServiceLog,natalie,1445533450254,22.10.2015 20:04:10,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-71,369760759,1445533055
,ServiceLog,natalie,1445533451281,22.10.2015 20:04:11,2G,GPRS,1,250,2,7803,15413,-1,-75,369760759,1445533055
,ServiceLog,natalie,1445533451281,22.10.2015 20:04:11,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-71,369760759,1445533055
,ServiceLog,natalie,1445533452303,22.10.2015 20:04:12,2G,GPRS,1,250,2,7803,15413,-1,-75,369760759,1445533055
,ServiceLog,natalie,1445533452303,22.10.2015 20:04:12,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-71,369760759,1445533055
,ServiceLog,natalie,1445533453328,22.10.2015 20:04:13,2G,GPRS,1,250,2,7803,15413,-1,-75,369760759,1445533055
,ServiceLog,natalie,1445533453328,22.10.2015 20:04:13,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-71,369760759,1445533055
,ServiceLog,natalie,1445533454351,22.10.2015 20:04:14,2G,GPRS,1,250,2,7803,15413,-1,-75,369760759,1445533055
,ServiceLog,natalie,1445533454351,22.10.2015 20:04:14,2G,GPRS,250-2-7803-15413,-1,-1,7803,15413,-1,-71,369760759,1445533055
,ServiceLog,natalie,1445533454351,22.10.2015 20:04:14,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-91,369760759,1445533055
,ServiceLog,natalie,1445533455382,22.10.2015 20:04:15,2G,GPRS,1,250,2,7803,15413,-1,-75,369760759,1445533055
,ServiceLog,natalie,1445533455382,22.10.2015 20:04:15,2G,GPRS,250-2-7803-15413,-1,-1,7803,15413,-1,-71,369760759,1445533055
,ServiceLog,natalie,1445533455382,22.10.2015 20:04:15,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-91,369760759,1445533055
,ServiceLog,natalie,1445533456407,22.10.2015 20:04:16,2G,GPRS,1,250,2,7803,15413,-1,-75,369760759,1445533055
,ServiceLog,natalie,1445533456407,22.10.2015 20:04:16,2G,GPRS,250-2-7803-15413,-1,-1,7803,15413,-1,-71,369760759,1445533055
,ServiceLog,natalie,1445533456407,22.10.2015 20:04:16,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-91,369760759,1445533055
,ServiceLog,natalie,1445533457439,22.10.2015 20:04:17,2G,GPRS,1,250,2,7803,15413,-1,-75,369760759,1445533055
,ServiceLog,natalie,1445533457439,22.10.2015 20:04:17,2G,GPRS,250-2-7803-15413,-1,-1,7803,15413,-1,-71,369760759,1445533055
,ServiceLog,natalie,1445533457439,22.10.2015 20:04:17,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-89,369760759,1445533055
,ServiceLog,natalie,1445533458467,22.10.2015 20:04:18,2G,GPRS,1,250,2,7803,15413,-1,-75,369760759,1445533055
,ServiceLog,natalie,1445533458467,22.10.2015 20:04:18,2G,GPRS,250-2-7803-15413,-1,-1,7803,15413,-1,-71,369760759,1445533055
,ServiceLog,natalie,1445533458467,22.10.2015 20:04:18,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-89,369760759,1445533055
,ServiceLog,natalie,1445533459493,22.10.2015 20:04:19,2G,GPRS,1,250,2,7803,15413,-1,-75,369760759,1445533055
,ServiceLog,natalie,1445533459493,22.10.2015 20:04:19,2G,GPRS,250-2-7803-15413,-1,-1,7803,15413,-1,-71,369760759,1445533055
,ServiceLog,natalie,1445533459493,22.10.2015 20:04:19,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-89,369760759,1445533055
,ServiceLog,natalie,1445533460523,22.10.2015 20:04:20,2G,GPRS,1,250,2,7803,15413,-1,-75,369760759,1445533055
,ServiceLog,natalie,1445533460523,22.10.2015 20:04:20,2G,GPRS,250-2-7803-15413,-1,-1,7803,15413,-1,-71,369760759,1445533055
,ServiceLog,natalie,1445533460523,22.10.2015 20:04:20,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-89,369760759,1445533055
,ServiceLog,natalie,1445533461547,22.10.2015 20:04:21,2G,GPRS,1,250,2,7803,15413,-1,-75,369760759,1445533055
,ServiceLog,natalie,1445533461547,22.10.2015 20:04:21,2G,GPRS,250-2-7803-15413,-1,-1,7803,15413,-1,-69,369760759,1445533055
,ServiceLog,natalie,1445533461547,22.10.2015 20:04:21,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-87,369760759,1445533055
,ServiceLog,natalie,1445533462575,22.10.2015 20:04:22,2G,GPRS,1,250,2,7803,15413,-1,-75,369760759,1445533055
,ServiceLog,natalie,1445533462575,22.10.2015 20:04:22,2G,GPRS,250-2-7803-15413,-1,-1,7803,15413,-1,-69,369760759,1445533055
,ServiceLog,natalie,1445533462575,22.10.2015 20:04:22,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-87,369760759,1445533055
,ServiceLog,natalie,1445533463599,22.10.2015 20:04:23,2G,GPRS,1,250,2,7803,15413,-1,-75,369760759,1445533055
,ServiceLog,natalie,1445533463599,22.10.2015 20:04:23,2G,GPRS,250-2-7803-15413,-1,-1,7803,15413,-1,-69,369760759,1445533055
,ServiceLog,natalie,1445533463599,22.10.2015 20:04:23,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-87,369760759,1445533055
