Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,session_id
250-99-26627-57875,57866,,26627,250,99,ServiceLog,unknown,unknown,-1,-105,1435849275033,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-57,1435849276046,Anna,1435845964,449805108
250-99-26627-57875,57866,,26627,250,99,ServiceLog,unknown,unknown,-1,-105,1435849276046,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-57,1435849277127,Anna,1435845964,449805108
250-99-26627-57875,57866,,26627,250,99,ServiceLog,unknown,unknown,-1,-105,1435849277127,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-57,1435849278140,Anna,1435845964,449805108
250-99-26627-57875,57866,,26627,250,99,ServiceLog,unknown,unknown,-1,-103,1435849278140,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-57,1435849279214,Anna,1435845964,449805108
250-99-26627-57875,57866,,26627,250,99,ServiceLog,unknown,unknown,-1,-103,1435849279214,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-57,1435849280225,Anna,1435845964,449805108
250-99-26627-57875,57866,,26627,250,99,ServiceLog,unknown,unknown,-1,-103,1435849280225,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-57,1435849281254,Anna,1435845964,449805108
250-99-26627-57875,57866,,26627,250,99,ServiceLog,unknown,unknown,-1,-103,1435849281254,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-57,1435849282279,Anna,1435845964,449805108
250-99-26627-57875,57866,,26627,250,99,ServiceLog,unknown,unknown,-1,-101,1435849282279,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-57,1435849283362,Anna,1435845964,449805108
250-99-26627-57875,57866,,26627,250,99,ServiceLog,unknown,unknown,-1,-101,1435849283362,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-67,1435849284374,Anna,1435845964,449805108
250-99-26627-57875,57866,,26627,250,99,ServiceLog,unknown,unknown,-1,-99,1435849284374,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-67,1435849285450,Anna,1435845964,449805108
250-99-26627-57875,57866,,26627,250,99,ServiceLog,unknown,unknown,-1,-99,1435849285450,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-59,1435849286473,Anna,1435845964,449805108
250-99-26627-57875,57866,,26627,250,99,ServiceLog,unknown,unknown,-1,-97,1435849286473,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-59,1435849287565,Anna,1435845964,449805108
250-99-26627-57875,57866,,26627,250,99,ServiceLog,unknown,unknown,-1,-97,1435849287565,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-57,1435849288578,Anna,1435845964,449805108
250-99-26627-57875,57866,,26627,250,99,ServiceLog,unknown,unknown,-1,-93,1435849288578,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-57,1435849289664,Anna,1435845964,449805108
250-99-26627-57875,57866,,26627,250,99,ServiceLog,unknown,unknown,-1,-93,1435849289664,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-67,1435849290674,Anna,1435845964,449805108
250-99-26627-57875,57866,,26627,250,99,ServiceLog,unknown,unknown,-1,-91,1435849290674,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-67,1435849291749,Anna,1435845964,449805108
250-99-26627-57875,57866,,26627,250,99,ServiceLog,unknown,unknown,-1,-91,1435849291749,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-61,1435849292769,Anna,1435845964,449805108
250-99-26627-57875,57866,,26627,250,99,ServiceLog,unknown,unknown,-1,-85,1435849292769,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-61,1435849293849,Anna,1435845964,449805108
250-99-26627-57875,57866,,26627,250,99,ServiceLog,unknown,unknown,-1,-85,1435849293849,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-59,1435849294861,Anna,1435845964,449805108
250-99-26627-57875,57866,,26627,250,99,ServiceLog,unknown,unknown,-1,-83,1435849294861,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-59,1435849295948,Anna,1435845964,449805108
